IN,OUT,Initial soc,cap
26,68,20.71,60
42,64,12.63,60
29,59,28.5,60
29,71,31.85,60
30,95,33.17,60
52,91,58.68,60
27,69,32.04,60
36,88,29.66,60
40,62,53.44,60
44,65,42.67,60
55,90,54.22,60
24,69,38.38,60
35,75,43.96,60
55,73,50.71,60
31,83,12.01,60
43,66,50.27,60
26,85,15.77,60
26,65,51.94,60
33,69,33.17,60
30,73,34.65,60
40,72,38.47,60
32,81,13.14,60
39,68,24.34,60
23,54,20.63,60
31,39,23.26,60
44,67,22.03,60
70,78,39.47,60
29,73,48.98,60
17,71,3.04,60
28,74,56.66,60
70,82,43.76,60
49,63,22.62,60
39,73,52.13,60
36,53,49.03,60
48,71,52.52,60
30,73,26.29,60
38,69,20.96,60
34,57,21.73,60
25,47,34.61,60
23,72,56.99,60
44,79,56.87,60
28,82,42.85,60
29,65,18.53,60
27,69,31.69,60
30,63,9.49,60
36,77,51.3,60
33,60,48.32,60
38,72,14.55,60
40,46,39.04,60
36,55,49.35,60
58,63,38.44,60
46,70,53.38,60
52,60,28.14,60
42,51,39.33,60
27,77,41.07,60
29,76,44.22,60
46,63,11.53,60
62,83,40.05,60
40,65,37.08,60
45,73,12.77,60
29,72,39.11,60
35,48,53.65,60
27,61,15.71,60
28,76,10.77,60
42,64,57.38,60
28,88,52.13,60
40,48,28.28,60
32,75,18.45,60
39,70,48.48,60
64,85,49.35,60
22,44,41.96,60
20,72,13.75,60
31,70,43.54,60
44,74,23.19,60
29,73,20.02,60
43,62,35.62,60
29,70,32.43,60
34,45,16.85,60
28,78,35.95,60
64,86,25.73,60
28,70,30.7,60
28,78,23.24,60
31,72,27.81,60
64,73,58.43,60
44,83,39.5,60
46,56,54.94,60
40,92,42.35,60
31,42,53.25,60
38,72,58.19,60
31,67,27.23,60
32,75,38.27,60
43,66,50.22,60
31,50,55.4,60
41,85,30.22,60
70,90,41.37,60
32,58,49.41,60
30,39,24.14,60
45,60,32.74,60
30,71,12.25,60
78,84,53.7,60
30,77,54.29,60
38,83,29.91,60
34,54,40.73,60
34,77,31.56,60
59,67,28.4,60
26,73,21.98,60
31,62,52.27,60
35,58,36.25,60
44,71,56.56,60
27,72,12.33,60
55,80,33.11,60
38,56,35.71,60
30,70,37.05,60
32,84,38.41,60
39,70,38.6,60
31,76,30.13,60
38,59,30,60
43,53,27.72,60
36,45,54.9,60
35,77,15.41,60
32,78,49.07,60
24,78,47.91,60
31,88,18.99,60
58,62,57.13,60
22,65,39.18,60
58,88,30.39,60
38,56,49.55,60
29,75,41.39,60
34,82,43.12,60
39,75,23.09,60
28,84,54.26,60
60,91,51.14,60
24,78,38.07,60
36,77,43.1,60
56,58,57.38,60
28,70,51.09,60
42,54,15.62,60
35,70,39.27,60
40,67,42.8,60
42,87,37.47,60
72,81,37.42,60
35,69,56.27,60
38,68,35.05,60
27,58,48.9,60
58,67,19.77,60
40,59,48.17,60
31,67,26.79,60
34,49,40.9,60
32,90,24.17,60
37,65,18,60
44,63,27.37,60
32,75,17.93,60
32,78,44.36,60
39,59,7.99,60
54,72,8.11,60
36,55,50.77,60
32,45,48.25,60
44,58,26.53,60
29,69,44.29,60
29,79,22.7,60
32,59,16.2,60
35,73,51.92,60
23,58,59.52,60
55,66,39.69,60
28,79,39.35,60
41,47,39.76,60
52,68,24.69,60
46,63,43.29,60
42,52,22.89,60
26,74,41.14,60
29,66,54.84,60
46,50,40.24,60
30,62,51.56,60
66,76,33.42,60
36,76,27.36,60
33,76,43.8,60
64,85,34.51,60
31,72,48.75,60
43,49,58.79,60
47,77,57.09,60
27,68,56.68,60
47,65,22.13,60
29,80,28.94,60
26,71,22.57,60
28,76,26.64,60
39,65,43.84,60
37,42,38.76,60
75,90,17.09,60
39,83,44.27,60
37,78,15.68,60
28,70,28.68,60
45,57,50,60
28,88,15.43,60
27,65,27.75,60
30,70,18.26,60
29,74,22.42,60
39,86,13.71,60
19,61,50.6,60
43,58,59.25,60
36,76,30.81,60
48,62,33.99,60
31,72,29.34,60
29,56,13.9,60
32,50,46.43,60
36,65,16.14,60
47,84,52.61,60
30,60,39.62,60
51,56,43.85,60
22,83,13.12,60
35,63,23.56,60
28,68,48.18,60
39,85,9.45,60
31,66,47.54,60
72,88,20.48,60
28,80,28.1,60
32,72,38.91,60
46,70,52.72,60
44,55,46.29,60
26,69,26.87,60
23,71,53.12,60
26,77,11.83,60
77,81,45.54,60
38,50,17.75,60
40,57,36.07,60
24,72,31.7,60
34,42,36.33,60
42,66,21.06,60
49,75,17.31,60
30,65,22.3,60
41,49,29.61,60
31,58,46.78,60
26,72,17.01,60
28,84,8.92,60
52,88,17.46,60
26,76,39.35,60
33,77,52.43,60
44,85,15.29,60
26,58,8.72,60
51,64,42.23,60
30,82,51.13,60
30,52,42.82,60
30,73,55.57,60
34,70,48.04,60
35,53,17.69,60
30,39,57.81,60
28,71,44.97,60
73,87,23.52,60
57,71,31.61,60
45,89,16.37,60
25,81,21.16,60
28,86,39.95,60
38,70,9.58,60
33,75,47.78,60
61,83,12.12,60
40,92,5.74,60
77,82,58.38,60
40,67,52.29,60
32,78,43.28,60
34,75,35.6,60
26,74,34.04,60
26,92,53.87,60
62,70,49.62,60
40,77,14.32,60
32,66,15.8,60
37,74,14.54,60
34,84,51.73,60
29,69,22.42,60
69,79,50.09,60
31,95,38.99,60
31,40,37.73,60
33,46,36.94,60
30,77,51.56,60
48,53,57.06,60
44,79,42.59,60
34,70,53.32,60
23,63,44.49,60
30,54,12.37,60
41,51,13.6,60
46,67,47.34,60
26,78,46.55,60
34,42,20.41,60
42,80,25.64,60
31,64,20.18,60
25,67,36.55,60
38,60,24.83,60
40,64,42.14,60
22,59,32,60
39,67,40.92,60
30,58,43.96,60
32,69,30.48,60
34,75,25.95,60
25,59,21.35,60
27,71,40.67,60
28,66,51.15,60
73,95,55.9,60
30,64,50.41,60
22,65,37.05,60
31,65,30.35,60
52,60,36.47,60
47,56,38.78,60
47,88,34.35,60
41,69,39.57,60
33,45,13.97,60
31,64,41.63,60
27,76,26.28,60
62,92,12.99,60
36,67,42.1,60
56,64,29.74,60
62,86,21.94,60
78,88,55.22,60
57,74,20.54,60
57,66,55.17,60
30,67,36.23,60
21,63,15.26,60
30,70,19.76,60
44,89,45.82,60
71,85,23.27,60
30,71,18.01,60
28,68,24.81,60
60,77,39.34,60
56,67,26.47,60
40,43,46.52,60
29,54,26,60
28,53,52.57,60
32,68,28.21,60
65,78,22.36,60
40,81,35.06,60
39,86,39.6,60
46,82,45.19,60
18,56,26.28,60
28,61,51.41,60
27,69,34.28,60
32,75,28.55,60
28,80,47.26,60
36,70,41.61,60
32,71,25.32,60
35,73,9.5,60
43,69,51.26,60
40,80,11.52,60
60,82,40.97,60
29,71,50.31,60
44,65,19.96,60
33,63,55.1,60
36,70,38.68,60
56,70,44.86,60
43,77,53.76,60
22,68,34.96,60
29,76,32.77,60
37,55,27.65,60
74,82,52.12,60
29,68,26,60
25,69,39.08,60
69,72,52.21,60
29,58,15,60
32,69,57.5,60
35,57,12.62,60
23,69,18.16,60
28,66,35.9,60
33,72,33.13,60
24,76,39.14,60
30,90,45.63,60
30,36,47.6,60
39,77,37.51,60
28,72,11.93,60
37,83,35.3,60
38,85,21.89,60
50,59,37.77,60
34,92,50.26,60
26,76,21.97,60
56,60,52.31,60
56,67,50.1,60
43,66,39.67,60
50,73,25.37,60
16,77,14.22,60
28,84,22.71,60
48,87,54.26,60
31,79,47.05,60
31,68,52.24,60
53,72,27.22,60
36,54,15.68,60
40,63,52.54,60
31,39,50.21,60
24,84,39.14,60
42,83,28.89,60
44,69,46.69,60
35,66,50.51,60
54,89,35.72,60
32,65,10.73,60
45,66,1.83,60
40,61,19.23,60
32,76,50.58,60
42,63,35.14,60
48,75,25.75,60
46,50,43.76,60
31,82,12.67,60
70,83,39.87,60
31,68,20.42,60
20,69,26.13,60
40,53,45.94,60
75,90,26.92,60
50,80,24.54,60
38,57,21.82,60
58,84,15.76,60
38,69,16.17,60
32,76,14.57,60
23,66,55.13,60
26,78,50.33,60
38,66,15.68,60
27,69,46.68,60
31,36,59.22,60
32,69,45.75,60
30,67,43.57,60
19,72,27.7,60
41,64,36.33,60
33,66,52.77,60
31,74,44.32,60
43,73,36.22,60
29,71,48.5,60
27,86,12.57,60
40,43,48.76,60
39,68,28.25,60
35,57,23.33,60
34,73,51.64,60
20,71,34.93,60
46,79,45.88,60
30,39,42.14,60
52,67,44.67,60
30,76,15.43,60
68,74,45.42,60
33,79,24.67,60
30,74,48.01,60
38,73,55.48,60
31,69,41.06,60
46,72,47.09,60
31,69,18.12,60
48,63,24.99,60
56,72,56.37,60
44,61,50.53,60
39,95,47.8,60
53,59,43.25,60
25,47,50.73,60
29,89,46.31,60
36,65,58.67,60
38,60,48.72,60
27,63,34.98,60
32,92,17.07,60
44,88,49.7,60
17,66,52.19,60
32,74,27.64,60
62,85,31.5,60
24,52,24.19,60
37,46,50.71,60
33,69,54.21,60
35,76,24.83,60
28,74,44.16,60
56,68,17.01,60
28,86,22.53,60
32,76,15.43,60
40,69,49.45,60
53,63,45.71,60
32,50,38.3,60
40,90,54.9,60
22,65,13.46,60
46,74,28.24,60
40,76,26.37,60
23,74,34.41,60
36,60,2.28,60
67,88,22.21,60
22,66,12.89,60
20,77,18.11,60
48,55,31.13,60
31,67,38.29,60
30,66,20.95,60
32,64,16.38,60
30,78,52.17,60
42,51,49.9,60
32,53,17.95,60
45,54,54.67,60
25,81,46.17,60
33,62,51.3,60
31,76,26.41,60
36,46,51.99,60
32,54,41.02,60
60,68,37.23,60
26,67,23.32,60
29,75,2.8,60
26,88,6.62,60
40,89,49.75,60
49,82,14.15,60
42,68,33.82,60
27,52,37.64,60
38,48,55.29,60
43,62,14,60
50,84,36.73,60
30,53,32.18,60
50,53,49.7,60
33,76,16.33,60
49,59,49.63,60
40,53,23.42,60
21,50,21.09,60
28,61,1.95,60
22,64,46.34,60
36,68,46.3,60
34,70,20.52,60
40,50,36.13,60
44,57,16.27,60
40,66,12.4,60
25,85,40.17,60
68,75,30.46,60
26,68,6.82,60
28,65,53.83,60
31,63,28.37,60
27,71,15.14,60
41,95,14.2,60
32,37,35.7,60
35,45,53.13,60
20,77,33.74,60
28,70,24.51,60
22,76,13.87,60
39,66,41.24,60
28,70,13.08,60
30,38,20.4,60
54,81,28.93,60
30,59,31.24,60
36,61,31.87,60
31,69,24.12,60
27,81,53.99,60
22,60,37.97,60
30,69,38.15,60
29,63,36.01,60
38,64,50.14,60
26,85,11.28,60
33,35,51.69,60
33,79,9.84,60
40,65,54.74,60
56,59,51.49,60
32,76,35.18,60
26,86,20.89,60
68,89,52.72,60
28,61,27.71,60
24,88,49.55,60
26,75,17.18,60
30,69,53.95,60
39,80,54.9,60
64,82,39.41,60
38,54,44.72,60
42,77,22.93,60
38,81,43.91,60
26,67,12.76,60
20,72,33.29,60
40,69,38.07,60
31,70,9.21,60
36,90,13.77,60
36,63,56.12,60
27,85,36.25,60
30,85,26.3,60
44,85,21.54,60
34,70,35.99,60
33,69,31.6,60
34,51,15.1,60
36,73,13.13,60
48,56,33.64,60
31,81,42.94,60
27,65,29.68,60
25,62,36.3,60
44,60,51.48,60
46,70,56.34,60
42,80,37.46,60
20,75,38.16,60
74,80,57.95,60
21,79,59.06,60
43,63,15.1,60
46,58,54.91,60
30,66,28.55,60
57,61,48.04,60
32,63,47.78,60
36,58,30.52,60
20,78,6.87,60
74,84,26.85,60
38,55,16.1,60
21,84,50.84,60
54,77,46.17,60
41,77,51.71,60
38,71,50.21,60
25,57,6.31,60
32,88,36.77,60
51,72,22.8,60
28,65,39.05,60
32,61,33.93,60
47,57,26.95,60
26,88,47.74,60
31,72,9.91,60
18,85,15.19,60
38,76,21.92,60
20,44,26.7,60
23,74,3.46,60
22,79,41.02,60
28,61,50.95,60
22,70,28.75,60
56,89,34.61,60
44,85,23.64,60
42,48,48.39,60
31,53,22.32,60
32,62,15.04,60
38,53,41.44,60
35,76,12.28,60
38,58,26.72,60
19,75,13.54,60
51,64,12.49,60
30,69,41.79,60
29,83,42.45,60
46,80,45.47,60
38,78,48.85,60
34,63,39.79,60
27,67,53.66,60
40,85,14.24,60
31,48,48.32,60
35,53,54.08,60
28,55,42.86,60
33,92,51.95,60
40,72,17.77,60
42,66,50.89,60
31,70,47.49,60
28,66,11.89,60
17,80,24.56,60
44,49,39.98,60
26,78,22.62,60
27,71,38.04,60
27,58,49.66,60
42,57,16.32,60
27,75,53.13,60
52,63,14.4,60
74,85,38,60
43,59,57.38,60
26,68,10.2,60
34,58,52.34,60
26,80,40.41,60
33,72,51.09,60
21,80,9.65,60
32,76,24.24,60
35,62,46.36,60
34,74,44.94,60
40,79,23.38,60
22,79,47.36,60
27,69,33.79,60
70,84,46.04,60
31,71,49.09,60
32,70,27.74,60
30,67,46.06,60
25,69,58.43,60
32,52,48.09,60
31,70,48.73,60
33,48,16.87,60
35,56,43.76,60
26,73,39.85,60
52,55,56.24,60
25,74,5.02,60
48,71,39.5,60
37,87,42.1,60
36,90,24.96,60
36,81,46.58,60
25,86,33.12,60
37,75,39.15,60
30,76,35.52,60
46,72,48.18,60
34,67,47.18,60
28,76,23.6,60
31,65,30.09,60
27,69,25.8,60
28,65,34.82,60
28,76,9.93,60
35,59,43.33,60
28,65,11.68,60
22,58,38.49,60
26,69,27.4,60
40,48,42.75,60
59,88,49.83,60
31,64,56.77,60
25,45,31.47,60
26,65,31.29,60
26,70,28.35,60
32,72,22.92,60
47,51,44.08,60
26,69,29.85,60
34,61,39.3,60
45,73,52.04,60
30,54,45.61,60
33,58,33.64,60
35,65,31.6,60
34,80,14.84,60
53,59,32.49,60
26,88,56.25,60
34,85,48.73,60
32,79,11.94,60
58,89,52.13,60
29,91,29.39,60
25,79,31.3,60
36,51,44.39,60
48,77,36.87,60
25,65,40.41,60
27,57,38.89,60
33,71,48.55,60
27,78,32.81,60
29,73,28.56,60
35,69,26.61,60
44,73,33.44,60
25,73,52.42,60
51,64,40.41,60
26,64,13.13,60
34,62,29.13,60
32,67,55.05,60
78,95,12.4,60
27,71,24.68,60
55,61,35.84,60
36,66,23.5,60
30,71,49.09,60
28,88,12.38,60
27,68,55.3,60
39,79,25.38,60
32,70,43.06,60
56,69,27.49,60
31,61,14.48,60
73,77,46.24,60
40,54,7.35,60
28,65,32.82,60
36,38,55.18,60
27,64,53.48,60
50,93,26.6,60
28,72,57.57,60
37,61,57.51,60
22,59,20.11,60
28,71,20.78,60
34,73,17.2,60
40,85,24.04,60
30,69,57.27,60
27,69,13.27,60
38,84,49.69,60
27,69,23.99,60
31,50,42.93,60
29,57,31.71,60
36,62,24.36,60
44,71,27.83,60
39,62,39.24,60
56,91,49.65,60
35,49,46.1,60
54,76,10.09,60
28,72,52.7,60
30,59,28.83,60
34,86,15.66,60
37,72,28.29,60
23,68,36.17,60
28,80,21.44,60
26,82,24.45,60
30,93,52.18,60
36,77,49.12,60
78,93,45.18,60
29,89,14.44,60
24,76,22.79,60
27,67,11.29,60
34,74,13.61,60
41,60,18.66,60
29,70,35.67,60
29,77,46.37,60
32,73,47.54,60
48,77,31.83,60
33,92,32.94,60
24,60,42.54,60
41,65,54.08,60
32,50,45.69,60
60,79,54.86,60
34,76,39.56,60
36,52,10.99,60
56,78,11.19,60
41,64,13.72,60
61,73,7.73,60
30,79,41.89,60
49,87,32.11,60
20,76,36.64,60
30,69,23.58,60
39,49,32.51,60
25,75,0.21,60
32,35,45.27,60
34,67,23.9,60
56,92,33.38,60
37,56,33.08,60
42,77,17.05,60
43,71,39.55,60
45,58,16.67,60
72,82,55.46,60
20,76,40.63,60
32,70,58.74,60
46,88,41.19,60
51,65,41.24,60
30,67,48.02,60
32,67,43.54,60
36,38,58.02,60
26,64,48.75,60
36,60,15.66,60
28,67,21.62,60
31,92,20.14,60
68,79,33.65,60
34,71,45.94,60
26,68,46.62,60
46,87,13.26,60
44,66,57,60
16,25,38.52,60
37,64,46.41,60
27,83,21.05,60
40,68,21.24,60
29,84,35.45,60
33,89,11.41,60
75,86,46.11,60
33,76,10.57,60
45,76,12.83,60
38,78,49.65,60
30,72,17.95,60
24,72,19.12,60
56,86,17.34,60
27,72,14.02,60
40,47,40.81,60
56,83,10.65,60
30,72,55.31,60
68,69,56.85,60
63,84,43.92,60
36,43,44.79,60
31,84,45.2,60
29,73,45.72,60
29,74,30.1,60
36,55,47.32,60
30,39,39.34,60
40,78,24.71,60
40,58,36.72,60
31,44,37.45,60
22,76,42.04,60
48,56,55.27,60
22,75,18.92,60
31,65,55.01,60
37,68,55.33,60
39,67,13.17,60
49,58,20.77,60
35,69,17.71,60
26,81,20.96,60
56,95,14.45,60
23,26,52.64,60
37,45,44.74,60
35,47,31.7,60
52,81,21.67,60
31,73,19.59,60
44,50,34.24,60
34,50,40.4,60
59,82,53.14,60
37,95,46.61,60
46,50,46.62,60
64,84,13.72,60
34,70,26.16,60
24,61,57.1,60
32,58,46.84,60
61,83,35.17,60
68,76,32.89,60
30,81,22.61,60
36,68,17.54,60
38,75,30.03,60
38,42,40.12,60
19,70,7,60
34,70,13.87,60
62,94,14.73,60
31,79,27.41,60
45,52,28.4,60
63,72,31.51,60
31,63,29.48,60
26,68,42.24,60
30,68,20.98,60
44,69,35.06,60
35,63,28.18,60
66,84,59.19,60
58,67,30.64,60
24,71,27.11,60
40,74,23.99,60
26,76,31.4,60
50,83,55.45,60
42,46,48.1,60
30,50,11.19,60
60,67,55.13,60
46,81,38.48,60
43,70,38.25,60
48,57,30.51,60
33,80,30.45,60
26,64,52.75,60
30,72,26.93,60
40,56,46.41,60
33,49,47,60
52,76,26.84,60
52,64,24.4,60
56,65,30.63,60
30,39,21.8,60
33,71,33.8,60
65,75,46.16,60
35,83,52.08,60
22,84,46.01,60
29,65,40.48,60
32,77,12.97,60
48,60,54.96,60
52,87,35.06,60
33,93,16.02,60
40,77,34.73,60
33,74,46.06,60
32,60,49.53,60
34,65,13.01,60
60,70,51.28,60
38,72,55.58,60
27,80,22.22,60
29,83,10.15,60
48,54,32.5,60
32,66,53.37,60
40,59,19.82,60
52,59,33.77,60
29,74,16.03,60
38,81,12.72,60
59,78,1.35,60
46,56,44.71,60
36,57,49.83,60
33,77,40.51,60
28,82,45.13,60
30,75,31.42,60
29,83,21.94,60
30,70,28.83,60
61,69,52.7,60
30,92,40.33,60
64,75,48.96,60
37,89,39.51,60
42,84,28.24,60
41,89,42.62,60
52,66,25.98,60
44,87,22.33,60
29,67,50.9,60
32,65,28.1,60
27,72,45.66,60
44,58,52.9,60
23,66,37.99,60
33,79,58.04,60
30,61,25.13,60
43,69,52.54,60
45,62,37.68,60
39,75,53.86,60
62,76,44.67,60
57,78,17.29,60
41,52,14.44,60
35,71,50.95,60
52,71,53.74,60
34,52,8.59,60
28,30,55.67,60
31,70,32.32,60
44,52,33.04,60
30,59,25.61,60
34,62,53.03,60
25,62,34.54,60
55,58,54,60
28,74,30.6,60
50,71,27.39,60
30,71,43.74,60
29,60,14.59,60
31,73,15.02,60
31,69,24.87,60
42,82,30.39,60
41,77,31.89,60
29,73,47.24,60
46,61,25.37,60
38,72,42.48,60
26,52,13.81,60
38,54,35.11,60
27,70,36.38,60
32,71,47.97,60
27,32,39.61,60
34,72,21.06,60
49,60,26.92,60
27,30,49.89,60
37,65,42.18,60
44,69,51.19,60
29,70,25.73,60
46,67,49.85,60
29,62,24.26,60
18,62,27.71,60
40,64,23.24,60
32,78,38.49,60
29,65,52.35,60
28,85,1.53,60
36,75,0.32,60
46,70,44.44,60
46,66,25.1,60
36,75,20.29,60
46,75,40.79,60
21,79,42.64,60
36,48,54.39,60
36,65,15.68,60
34,70,32.72,60
30,55,54.15,60
54,80,43.06,60
30,74,57.59,60
56,70,43.38,60
36,50,46.32,60
26,72,49.15,60
28,71,16.85,60
23,61,36.96,60
46,58,28.38,60
43,78,24.78,60
44,47,52.4,60
38,44,51.17,60
21,74,42,60
32,63,21.06,60
40,91,30.84,60
30,45,1.1,60
49,55,40.25,60
53,69,33.69,60
32,65,13.43,60
39,52,18.98,60
25,84,40.41,60
61,79,23.81,60
24,72,40.78,60
26,69,20.72,60
27,68,31.72,60
51,81,17.97,60
27,86,57.63,60
33,75,30.8,60
30,71,45.4,60
46,57,6.87,60
28,63,25.96,60
27,75,55.27,60
40,48,40.64,60
44,52,47.55,60
89,95,31.37,60
34,45,12.88,60
28,69,28.24,60
31,70,43.36,60
35,54,12.46,60
33,79,38.89,60
23,84,27.72,60
35,77,39.44,60
32,72,26.56,60
36,59,43.4,60
32,36,43.18,60
30,71,33.56,60
24,84,49.85,60
30,71,44.88,60
56,65,28.49,60
42,52,33.71,60
22,53,15.27,60
30,68,48.05,60
21,61,43.83,60
32,65,34.17,60
26,69,34.78,60
52,76,57.38,60
32,80,9.09,60
66,75,18.21,60
38,73,41.79,60
56,67,35.57,60
24,67,36.05,60
31,67,24.64,60
62,72,50.7,60
37,69,30.25,60
41,50,29.52,60
33,78,17.63,60
22,58,19.72,60
36,51,52.01,60
38,69,50.8,60
48,51,58.79,60
32,70,7.86,60
62,69,25.28,60
66,86,33.71,60
48,56,43.7,60
58,84,12.83,60
28,70,13.05,60
30,62,7.12,60
44,55,43.73,60
41,78,30.74,60
39,66,46.36,60
37,54,20.2,60
27,85,49.82,60
44,92,50.36,60
27,76,26.35,60
24,85,8.71,60
27,71,15.44,60
31,71,13.37,60
64,76,47.97,60
34,51,59.11,60
32,63,55.07,60
39,75,53.68,60
31,71,36.12,60
40,76,23.88,60
29,74,10.72,60
26,74,25.26,60
29,85,44.45,60
39,47,57.27,60
27,61,47.94,60
29,75,39.17,60
33,74,44.93,60
38,50,29.51,60
34,51,48.5,60
72,85,53.95,60
25,68,54.18,60
29,68,17.89,60
31,66,55.4,60
37,72,32.73,60
61,83,31.91,60
31,80,16.86,60
50,58,32.43,60
24,66,56.03,60
25,66,6.85,60
42,53,12.74,60
22,76,46.32,60
42,55,46.96,60
40,86,52.71,60
32,72,41.6,60
35,74,54.75,60
40,52,29.8,60
30,73,32.21,60
26,70,30.95,60
37,50,37.25,60
20,90,6.59,60
48,76,51.59,60
29,76,44.83,60
32,66,32.37,60
24,70,43.01,60
34,80,11.92,60
37,68,27.95,60
28,68,43.51,60
46,72,11.58,60
33,54,33.93,60
26,64,20.29,60
56,61,37.89,60
32,43,33.38,60
30,74,50.27,60
34,40,31.51,60
49,58,20.11,60
39,81,22.47,60
26,76,28.26,60
46,87,42.28,60
30,71,24.11,60
30,66,55.91,60
46,87,48.47,60
22,61,13.84,60
23,63,25.22,60
24,70,35.37,60
52,56,51.87,60
44,85,27.58,60
23,63,26.7,60
27,66,23.45,60
43,77,25.7,60
28,80,14.88,60
66,81,53.94,60
44,81,33.04,60
19,75,37.14,60
18,67,23.61,60
31,37,50.2,60
42,55,38.87,60
31,67,55.18,60
36,79,17.25,60
25,80,30.62,60
42,58,38.23,60
50,57,30.29,60
33,75,26.57,60
48,52,42.31,60
22,79,9.25,60
31,71,37.47,60
33,49,17.1,60
40,84,20.31,60
32,75,23,60
35,81,25.02,60
23,73,52.58,60
26,84,23.2,60
34,74,9.94,60
30,57,52.77,60
26,69,43.21,60
43,73,35.63,60
48,66,25.73,60
78,84,30.97,60
36,78,23.68,60
48,81,40.09,60
43,68,23.23,60
27,72,40.66,60
45,88,45.03,60
61,84,22.74,60
38,60,25.2,60
28,58,35.29,60
28,57,20.64,60
62,82,31.49,60
40,70,31.8,60
32,70,22.12,60
38,73,40.94,60
33,71,19.46,60
44,49,36.07,60
21,77,38.62,60
28,63,28.95,60
48,57,16.22,60
41,82,42.29,60
61,73,11.59,60
38,42,45.87,60
40,66,36.65,60
28,75,52.07,60
40,60,38.32,60
31,62,16.96,60
21,68,53.9,60
30,74,30.14,60
41,53,21.5,60
34,45,19.05,60
23,62,30.87,60
26,77,35.67,60
40,71,8.05,60
20,61,43.77,60
52,66,30.79,60
32,70,30.21,60
27,83,36.81,60
26,73,15.58,60
24,68,45.47,60
29,63,52.64,60
40,70,28.34,60
36,55,44.26,60
29,71,24.61,60
36,72,40.66,60
40,51,14.27,60
44,65,31.62,60
34,63,17,60
27,69,49.28,60
30,61,51.41,60
43,59,26.87,60
49,74,19.54,60
20,70,51.26,60
52,58,54.1,60
22,75,23.57,60
26,77,44.7,60
32,76,32.84,60
40,58,40.7,60
31,69,38.65,60
51,57,54.62,60
26,88,42.23,60
36,80,42.14,60
44,49,41.97,60
20,71,10.72,60
64,75,19.49,60
39,78,10.73,60
33,69,13.59,60
41,54,45.55,60
33,71,34.56,60
28,75,56.71,60
28,70,24.97,60
78,83,55.18,60
32,75,49.39,60
34,66,19.16,60
24,66,49.89,60
36,63,24.69,60
48,66,22.22,60
35,86,36.43,60
28,71,17.69,60
35,84,54.73,60
29,86,20.13,60
34,74,40.23,60
27,76,32.43,60
33,92,20.82,60
32,78,14.59,60
47,61,43.91,60
24,64,34.98,60
41,45,55.19,60
35,72,48.02,60
26,78,19.73,60
28,73,53.63,60
34,63,36.17,60
45,57,19.4,60
44,65,10.72,60
36,52,22.18,60
43,80,52.88,60
45,63,19.63,60
24,68,30.15,60
40,62,48.66,60
24,74,20.43,60
34,60,28.3,60
50,67,42.4,60
37,53,20.66,60
30,72,13.3,60
37,52,57.22,60
30,72,30.72,60
56,86,21.41,60
36,57,20.3,60
38,50,42.04,60
31,76,30.97,60
39,69,31.41,60
44,83,59.47,60
35,82,9.88,60
35,88,12.84,60
31,75,47.68,60
31,82,7.53,60
28,67,30.66,60
48,91,21.24,60
40,60,30.82,60
38,56,24.03,60
32,76,32.86,60
23,84,27.42,60
31,64,40.15,60
57,66,28.07,60
26,72,14.09,60
36,78,45.77,60
39,76,6.85,60
40,76,49.27,60
34,51,43.95,60
32,70,59.07,60
30,70,49.36,60
30,82,42.92,60
30,61,49.67,60
25,70,45.69,60
29,67,22.03,60
24,67,30.51,60
31,80,14.34,60
26,73,26.43,60
33,66,24.49,60
51,66,48.47,60
27,68,21.52,60
44,58,22.72,60
27,66,11.42,60
24,78,41.62,60
37,49,30.36,60
34,43,51.06,60
33,69,53.14,60
43,69,22.68,60
30,68,9.41,60
46,50,59.1,60
37,45,43.73,60
42,61,33.64,60
24,66,13.01,60
31,56,24.86,60
26,85,51.82,60
31,72,30.42,60
37,85,27.62,60
29,74,43.64,60
43,56,26.14,60
29,30,55.43,60
45,53,42.42,60
38,79,57.31,60
29,57,46.49,60
43,84,25.53,60
28,58,29.7,60
41,69,57.39,60
20,70,32.87,60
30,68,46.25,60
29,85,16.79,60
44,77,55.85,60
30,66,34.13,60
29,70,53.96,60
27,73,23.98,60
34,75,11.44,60
36,64,46.65,60
44,65,28.25,60
31,71,39.31,60
40,64,24.14,60
32,68,19.19,60
32,89,43.14,60
38,71,35.35,60
28,73,33.28,60
36,43,37.34,60
20,63,44.28,60
27,61,33.53,60
34,74,36.71,60
75,93,58.2,60
42,66,28.69,60
38,49,57.78,60
40,48,36.16,60
46,52,31.4,60
42,94,37.65,60
69,77,38.02,60
28,74,28.88,60
57,60,46.66,60
29,78,10.41,60
36,71,40.01,60
27,72,14.56,60
32,68,43.78,60
31,79,27.64,60
26,66,20.89,60
37,78,29.29,60
30,78,24.73,60
50,81,13.67,60
39,65,29.38,60
29,89,44.31,60
40,78,52.54,60
29,74,30.02,60
66,76,32.09,60
39,65,20.21,60
33,42,32.03,60
68,74,49.51,60
24,70,8.68,60
30,48,48.69,60
40,72,25.87,60
65,84,46.19,60
27,66,57.45,60
44,69,37.12,60
36,88,36.79,60
29,71,39.02,60
31,71,23.03,60
20,57,40.23,60
28,70,29.08,60
34,70,15.79,60
33,56,24.27,60
68,80,49.24,60
30,59,45.1,60
28,86,32.91,60
